Intouchables Untouchable  (2011).DVDRip.BLOODYMARY.en.srt,0.254,0.2018,0.5207,0.5117
 the-dark-knight-yify-english.srt,0.2589,0.3136,0.5274,0.4501
 Gladiator.720p.SiLU.en.srt,0.2977,0.2188,0.5261,0.4787
 21. The.Silence.of.the.Lambs.1991.1080p-720p.BluRay.x264.YIFY.Eng.srt,0.3295,0.243,0.5052,0.4611
 Apocalypse.Now.Redux.1979.BDRip.YIFY.srt,0.2373,0.2644,0.5072,0.4956
 The.Lord.of.the.Rings.The.Two.Towers.2002.Extended.BluRay.1080p.DTSES6.1.x264-CHD.srt,0.2947,0.2259,0.4945,0.4925
 WALL-E (2008) 1080p.srt,0.3101,0.1373,0.5444,0.5041
 14. inception-yify-english.srt,0.2344,0.3104,0.5574,0.4489
 one-flew-over-the-cuckoos-nest-yify-english.srt,0.2107,0.1954,0.4653,0.5643
 Django.Unchained.2012.1080p-720p.BluRay.x264.YIFY.Hearing.Impaired.Eng.srt,0.2485,0.342,0.4773,0.4661
 the-lord-of-the-rings-the-fellowship-of-the-ring-yify-english.srt,0.2981,0.2784,0.527,0.4483
 Forrest.Gump.1994.720p.BluRay.x264-SiNNERS.Fr.srt,0.2428,0.0345,0.0669,0.8279
 The Usual Suspects (1995) [720p] x264 - Jalucian.srt,0.2612,0.3196,0.5244,0.4474
 Interstellar.Bluray.YIFY.en.srt,0.2514,0.2797,0.5493,0.4598
 Rear Window (1954).en.srt,0.2852,0.3272,0.5232,0.4322
 Paths of Glory (1957) [720p].srt,0.288,0.3519,0.5362,0.412
 The Matrix.srt,0.2881,0.2713,0.5616,0.4395
 2. The Godfather (1972) BluRay 720p x264 Ganool.srt,0.2494,0.2994,0.533,0.4591
 American.History.X.1998.1080p.BluRay.x264.YIFY.srt,0.2396,0.3026,0.5315,0.4631
 The.Pianist.720p.BrRip.x264.YIFY.srt,0.3026,0.2659,0.5557,0.4379
 5.Angry.Men.1957.720p.BluRay.x264-SiNNERS.srt,0.1839,0.3834,0.5517,0.4405
 The.Lion.King.1994.m-720p.Blu-ray.AC3.x264-EliteCoder_eng.srt,0.2555,0.2097,0.4919,0.5214
 3. The Godfather Part II (1974) [1080p].srt,0.2594,0.3235,0.4877,0.4647
 the-lord-of-the-rings-the-return-of-the-king-yify-english.srt,0.2942,0.2294,0.5427,0.4668
 A.New.Hope.1977.Bluray.english.srt,0.2683,0.2965,0.5881,0.4236
 Pulp.Fiction.1994.720p.BrRip.x264.YIFY.srt,0.2242,0.2867,0.4586,0.5152
 Psycho.DVDRip.Nts.en.srt,0.2651,0.3657,0.5124,0.4284
 10. fight-club-yify-english.srt,0.3015,0.246,0.5108,0.4708
 The.Shawshank.Redemption.1994.1080p.x264.YIFY.srt,0.2931,0.3308,0.5278,0.4242
 The.Departed.2006.BluRay.1080p.x264.YIFY.srt,0.2289,0.2712,0.5196,0.4902
 english.srt,0.2958,0.2953,0.5476,0.4306
 the-prestige-yify-english.srt,0.2498,0.3135,0.5452,0.4457
" Il buono, il brutto, il cattivo (1966) [1080p].srt",0.3101,0.2688,0.5312,0.445
 the-dark-knight-rises-yify-english.srt,0.2875,0.3375,0.5556,0.4097
 The.Great.Dictator.1940.1080p.BluRay.x264.anoXmous_.srt,0.2746,0.2089,0.5326,0.4919
 Back to the Future.srt,0.2539,0.2632,0.5362,0.4733
 6. schindlers-list-yify-english.srt,0.2882,0.2362,0.3674,0.5541
 Memento.srt,0.3502,0,0.0004,0.8247
 The.Green.Mile.1999.720p.BluRay.x264.YIFY.HI.srt,0.2447,0.2578,0.5076,0.495
 22. It's A Wonderful Life (1946) Remastered 25fps.srt,0.2065,0.2542,0.4848,0.5272
 the-shining-yify-english.srt,0.2867,0.2789,0.5299,0.4523
 Star.Wars.Episode.5.The.Empire.Strikes.Back.1980.1080p.BrRip.x264.BOKUTOX.YIFY.srt,0.2872,0.2666,0.5696,0.4383
 whiplash.720p.BluRay.x264.YIFY.srt,0.2812,0.2266,0.5042,0.494
 dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-yify-english.srt,0.3144,0.4448,0.5146,0.3631
 raiders-of-the-lost-ark-yify-english.srt,0.3129,0.3571,0.5031,0.4134
 Saving.Private.Ryan.1998.1080p-720p.BluRay.x264.YIFY.Eng.srt,0.2568,0.2386,0.5048,0.4999
 17. Goodfellas.1990.720p.BluRay.x264-RuDE_subenglish.srt,0.2097,0.295,0.5237,0.4858
 Casablanca[1942].srt,0.2409,0.0056,0.0121,0.8707
 terminator-2-judgment-day-yify-english.srt,0.3263,0.237,0.5794,0.4286
 Alien.Directors.Cut.1979.1080p.BRrip.x264.GAZ.YIFY.srt,0.3587,0.2077,0.5124,0.4606
